date,presence,source,notes
19871011,yes,TM,
19841214,yes,TM,
19900121,yes,TM,
19900105,yes,TM,
19891120,yes,TM,
19871030,yes,TM,
19871011,unclear,MSS,
19860314,no,MSS,
19841214,unclear,MSS,
19871013,unclear,MSS,
19751123,unclear,MSS,
19750225,no,MSS,
19740118,no,MSS,
20030109,yes,ETM,
20021122,yes,ETM,
20011221,unclear,ETM,
20011230,yes,ETM,
19810101,yes,study,"Drescher, H.-E. 1982. Untersuchungen zur S¨augetier biologie and Ornitologie w¨ahrend der Filchner Schelfeis-Expedition 1980/81. Berichte zur Polar forschung 1: 33."
