date,presence,source,notes
19861220,no,TM,
19841223,unclear,TM,
19841225,unclear,TM,
19841202,unclear,TM,
19921214,yes,TM,
19891129,yes,TM,
19841225,unclear,MSS,
19841202,unclear,MSS,
19751026,unclear,MSS,
19751112,unclear,MSS,
19751025,unclear,MSS,
19731223,unclear,MSS,
19721224,unclear,MSS,
19740105,no,MSS,
19991225,yes,ETM,
19991218,yes,ETM,
20021117,yes,ETM,
20011130,yes,ETM,
20011114,yes,ETM,
20021126,yes,ETM,
20011209,yes,ETM,
20001113,yes,ETM,
19741207,unclear,KH,DZB1209-500137L002001
19620701,yes,study,"Stonehouse, B. 1966. Emperor penguin colony at Beaufort Island, Ross Sea, Antarctica. Nature 210, 925–926."
