VIS_AREA_SQM,SWIR_AREA_SQM,VIS_PATCHES,SWIR_PATCHES,ENTITY_ID,SHAPE,VIS_CLOUDS,VIS_SHADOW,VIS_SHADOW_AREA,VIS_TRACKS,SWIR_SHADOW,SWIR_SHADOW_AREA,SWIR_NOISE,SWIR_CLOUDS,SWIR_TRACKS,SLC_ERR_AREA,SLC_ERR,,,,,,,
162757.88,74088.17242,1,2,S2A_MSIL2A_20161006T205512_N0500_R028_T58CEC_20230928T020259_clip,multicluster,0,0,0,0,1,1962430.728,0,0,0,0,0,,,,,,,
250975.475,127017.422,2,2,S2A_MSIL2A_20161029T210512_N0500_R071_T58CEC_20230928T113316_clip,single-cluster,0,0,0,0,1,132432.3054,0,0,0,0,0,,,,,,,
446650.6911,347155.4661,2,2,S2A_MSIL2A_20161105T205512_N0500_R028_T58CEC_20230926T202813_clip,diffuse,0,1,52739.18153,1,1,109372.6341,0,0,1,0,0,,,,,,,
1233852.877,1332630.399,3,1,S2A_MSIL2A_20161118T210532_N0500_R071_T58CEC_20230921T143636_clip,diffuse,0,1,80383.42992,1,1,89709.77743,0,0,1,0,0,,,,,,,
2335085.76,3208120.499,1,1,S2A_MSIL2A_20161128T210522_N0500_R071_T58CEC_20230924T173248_clip,diffuse,1,1,33925.05251,1,1,66231.1043,0,1,1,0,0,,,,,,,
649813.1293,1808759.73,3,1,S2A_MSIL2A_20161204T212512_N0500_R014_T58CEC_20230920T075558_clip,diffuse,1,1,56919.07307,1,1,62924.05505,0,1,1,0,0,,,,,,,
169486.0427,0,1,,S2A_MSIL2A_20161208T210512_N0500_R071_T58CEC_20230921T005659_clip,diffuse,1,1,38393.41223,0,1,31514.40092,0,1,0,0,0,,,,,,,
5381459.647,1458733.501,1,2,S2A_MSIL2A_20161215T205512_N0500_R028_T58CEC_20230920T205155_clip,diffuse,0,1,36787.92513,1,1,62953.98464,1,0,1,0,0,,,,,,,
1234395.24,0,2,,S2A_MSIL2A_20161221T211512_N0500_R114_T58CEC_20230918T121848_clip,diffuse,0,0,0,1,0,0,1,1,0,0,0,,,,,,,
1342023.671,675810.1569,2,2,S2A_MSIL2A_20161228T210512_N0500_R071_T58CEC_20231005T081755_clip,diffuse,0,0,0,1,0,0,1,0,1,0,0,,,,,,,
443872.4704,0,1,,S2A_MSIL2A_20170106T213401_N0500_R057_T58CEC_20230920T011136_clip,diffuse,0,0,0,1,0,0,1,0,0,0,0,,,,,,,
0,0,,,S2A_MSIL2A_20170123T212511_N0500_R014_T58CEC_20230917T061405_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
0,0,,,S2A_MSIL2A_20170209T211501_N0500_R114_T58CEC_20230919T215923_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
154096.8043,183394.3744,3,3,S2A_MSIL2A_20171014T210531_N0500_R071_T58CEC_20230727T233803_clip,multicluster,0,1,214685.0907,0,1,456330.2352,1,0,0,0,0,,,,,,,
62784.92388,0,2,,S2A_MSIL2A_20180112T210521_N0500_R071_T58CEC_20230818T084028_clip,diffuse,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
0,0,,,S2A_MSIL2A_20180201T210521_N0500_R071_T58CEC_20230716T152209_clip,no guano,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
0,0,,,S2A_MSIL2A_20180211T210521_N0500_R071_T58CEC_20230809T102154_clip,no guano,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
150875.0036,199708.6464,4,1,S2B_MSIL2A_20171012T211449_N0500_R114_T58CEC_20230722T080347_clip,multicluster,0,1,41381.70521,0,1,957956.7794,1,0,1,0,0,,,,,,,
112837.0751,0,1,,S2B_MSIL2A_20180924T210519_N0500_R071_T58CEC_20230624T165917_clip,multicluster,0,0,0,0,1,2000176.477,1,0,0,0,0,,,,,,,
252149.6594,290338.8544,1,1,S2B_MSIL2A_20181017T211529_N0500_R114_T58CEC_20230620T131214_clip,multicluster,0,1,54297.61372,1,1,555766.6967,0,1,1,0,0,,,,,,,
210205.5294,157639.383,2,2,S2B_MSIL2A_20181024T210529_N0500_R071_T58CEC_20230621T185513_clip,diffuse,0,1,60217.79843,1,1,161717.0321,1,0,1,0,0,,,,,,,
1460636.555,1140293.819,1,1,S2B_MSIL2A_20181123T210519_N0500_R071_T58CEC_20230618T055518_clip,diffuse,0,1,36126.31346,1,1,54873.3658,0,0,0,0,0,,,,,,,
2501321.381,2271613.372,1,1,S2B_MSIL2A_20181202T213359_N0500_R057_T58CEC_20230621T110519_clip,diffuse,0,1,38779.09662,1,1,45790.14404,1,0,1,0,0,,,,,,,
1579766.103,0,5,,S2B_MSIL2A_20181213T210519_N0500_R071_T58CEC_20230616T160637_clip,diffuse,0,1,32780.52542,1,1,39490.26527,1,0,0,0,0,,,,,,,
1194388.549,314405.2861,1,1,S2B_MSIL2A_20190102T210529_N9999_R071_T58CEC_20230422T161414_clip,diffuse,0,1,11324.00974,1,1,46792.73624,1,0,1,0,0,,,,,,,
821600.4428,278893.2888,1,2,S2B_MSIL2A_20190112T210529_N9999_R071_T58CEC_20230423T064726_clip,diffuse,0,0,0,1,0,0,1,0,1,0,0,,,,,,,
0,0,,,S2B_MSIL2A_20190210T213409_N0500_R057_T58CEC_20221125T023506_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
0,0,,,S2B_MSIL2A_20190220T213409_N0500_R057_T58CEC_20221125T040323_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
64409.5301,0,1,,S2B_MSIL2A_20190919T210529_N0500_R071_T58CEC_20230502T170551_clip,single-cluster,0,0,0,0,1,2850558.857,1,0,0,0,0,,,,,,,
146756.7292,0,1,,S2B_MSIL2A_20190929T210529_N0500_R071_T58CEC_20230521T072605_clip,single-cluster,0,0,0,0,1,550798.6084,0,1,0,0,0,,,,,,,
222375.2153,276222.1803,1,1,S2B_MSIL2A_20191008T213529_N0500_R057_T58CEC_20230527T164425_clip,multicluster,0,0,0,0,1,339236.1466,1,0,0,0,0,,,,,,,
199178.9922,160431.4618,1,1,S2B_MSIL2A_20191019T210529_N0500_R071_T58CEC_20230703T132544_clip,multicluster,0,0,0,0,1,316341.1227,1,1,0,0,0,,,,,,,
431302.4829,487417.1209,2,1,S2B_MSIL2A_20191108T210529_N0500_R071_T58CEC_20230525T193244_clip,diffuse,1,1,1475982.094,1,0,0,0,1,1,0,0,,,,,,,
1295951.671,1040526.707,1,1,S2B_MSIL2A_20191118T210529_N0500_R071_T58CEC_20230526T211133_clip,diffuse,1,0,0,1,1,23164.41924,0,1,1,0,0,,,,,,,
2271516.311,1689886.238,1,1,S2B_MSIL2A_20191127T213359_N0500_R057_T58CEC_20230615T154638_clip,diffuse,0,0,0,1,1,38173.42812,1,0,1,0,0,,,,,,,
481599.2174,0,3,,S2B_MSIL2A_20191208T210519_N0500_R071_T58CEC_20230526T213549_clip,diffuse,0,1,29792.71905,1,1,48064.68802,0,0,0,0,0,,,,,,,
198808.8681,0,7,,S2B_MSIL2A_20191217T213359_N0500_R057_T58CEC_20230606T235245_clip,diffuse,0,1,18588.9686,1,1,40642.5088,1,0,0,0,0,,,,,,,
100186.6866,0,3,,S2B_MSIL2A_20200117T210519_N0500_R071_T58CEC_20230423T160125_clip,diffuse,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
0,0,,,S2B_MSIL2A_20200126T213359_N0500_R057_T58CEC_20230423T220236_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
0,0,,,S2B_MSIL2A_20200205T213359_N0500_R057_T58CEC_20230506T145155_clip,no guano,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
219565.2643,247101.6133,1,1,S2B_MSIL2A_20201013T210529_N0500_R071_T58CEC_20230324T083038_clip,multicluster,0,1,60809.67103,0,1,360606.7438,0,0,1,0,0,,,,,,,
302112.8698,259748.3267,1,1,S2B_MSIL2A_20201022T213409_N0500_R057_T58CEC_20230306T081429_clip,single-cluster,1,1,49471.77784,1,1,210844.1808,0,1,0,0,0,,,,,,,
886521.9003,678326.9213,1,3,S2B_MSIL2A_20201112T210529_N0500_R071_T58CEC_20230318T033041_clip,diffuse,0,1,42779.83476,1,1,55905.86689,1,0,1,0,0,,,,,,,
1352410.268,1635796.434,1,1,S2B_MSIL2A_20201121T213409_N0500_R057_T58CEC_20230301T093059_clip,diffuse,0,1,41155.34587,1,1,52868.16015,0,0,1,0,0,,,,,,,
1442080.288,891438.6975,5,1,S2B_MSIL2A_20201202T210529_N0500_R071_T58CEC_20230301T223401_clip,diffuse,0,1,35040.15426,1,1,61921.45564,1,0,1,0,0,,,,,,,
1158273.348,,1,,S2B_MSIL2A_20201211T213409_N0500_R057_T58CEC_20230224T224640_clip,diffuse,1,1,61633.36881,0,1,78247.02846,0,1,0,0,0,,,,,,,
1280367.09,,1,,S2B_MSIL2A_20201222T210519_N0500_R071_T58CEC_20230301T213648_clip,diffuse,1,1,52604.34245,1,0,28192.3751,0,1,0,0,0,,,,,,,
939241.6491,3727141.42,1,4,S2B_MSIL2A_20210101T210529_N0500_R071_T58CEC_20230302T180322_clip,diffuse,0,0,0,1,0,0,1,0,1,0,0,,,,,,,
,,,,S2B_MSIL2A_20210110T213409_N0500_R057_T58CEC_20230602T055721_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
175654.8894,90947.12723,1,1,S2B_MSIL2A_20211008T210529_N0301_R071_T58CEC_20211008T222509_clip,multicluster,0,1,182381.1861,0,1,423903.0792,1,0,0,0,0,,,,,,,
227287.2633,263149.0632,1,1,S2B_MSIL2A_20211017T213409_N0500_R057_T58CEC_20230104T053110_clip,single-cluster,0,1,44521.95618,0,1,157631.837,1,0,1,0,0,,,,,,,
154953.7882,191586.5286,1,4,S2B_MSIL2A_20211027T213409_N0500_R057_T58CEC_20230105T010220_clip,multicluster,0,1,30453.54532,0,1,87839.28445,1,0,1,0,0,,,,,,,
